base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	lemma
bizalmaskodik	bizalmaskodok	bizalmaskodom	2	9	-1.203972804325936	NA	4	corpus	700	8570080167	bizalmaškodik
bizalmatlankodik	bizalmatlankodok	bizalmatlankodom	3	1	0.6931471805599453	NA	5	corpus	284	8570080167	bizalmatlankodik
bizonyosodik	bizonyosodok	bizonyosodom	39	46	-0.16126814759612226	NA	4	corpus	29527	8570080167	bizoṉošodik
bizonytalankodik	bizonytalankodok	bizonytalankodom	48	101	-0.7331525151736444	NA	5	corpus	4183	8570080167	bizoṉtalankodik
bocsátkozik	bocsátkozok	bocsátkozom	71	1019	-2.6508917872622613	zik	3	corpus	24331	8570080167	bočátkozik
bogarászik	bogarászok	bogarászom	186	156	0.17486281150627853	szik	3	corpus	9264	8570080167	bogarásik
bohóckodik	bohóckodok	bohóckodom	164	119	0.3184537311185346	NA	3	corpus	10687	8570080167	bohóckodik
bonyolódik	bonyolódok	bonyolódom	161	205	-0.24027983355719704	NA	3	corpus	34776	8570080167	boṉolódik
borotválkozik	borotválkozok	borotválkozom	56	341	-1.791759469228055	zik	4	corpus	7593	8570080167	borotválkozik
bosszankodik	bosszankodok	bosszankodom	459	994	-0.7715162476754521	NA	3	corpus	28274	8570080167	bossankodik
botladozik	botladozok	botladozom	128	187	-0.37662955846827706	zik	3	corpus	8796	8570080167	botladozik
botlik	botlok	botlom	1692	197	2.1459903514386	lik	1	corpus	41912	8570080167	botlik
botránkozik	botránkozok	botránkozom	24	65	-0.9707789171582248	zik	3	corpus	3482	8570080167	botránkozik
brarlik	brarlok	brarlom	21	6	1.1451323043030026	-lik	1	nonword	NA	NA	brarlik
brivegzik	brivegzek	brivegzem	8	21	-0.8938178760220964	-zik	2	nonword	NA	NA	brivegzik
brobódzik	brobódzok	brobódzom	9	18	-0.6418538861723948	-zik	2	nonword	NA	NA	brobódzik
brubzik	brubzok	brubzom	16	11	0.3483066942682158	-zik	1	nonword	NA	NA	brubzik
brágaklik	brágaklok	brágaklom	12	17	-0.325422400434628	-lik	2	nonword	NA	NA	brágaklik
brüjlik	brüjlök	brüjlöm	18	8	0.7472144018302211	-lik	1	nonword	NA	NA	brüjlik
bujdosik	bujdosok	bujdosom	49	12	1.3470736479666094	NA	2	corpus	4942	8570080167	bujdošik
